Detalle de las operaciones|(2 caracteres alfabéticos, ejemplo DE)|En este campo se debe indicar las letras DE que describe que se trata del detalle de los pagos.|N/A
Tipo de Movimiento|(1 carácter numérico)\n0 = Pago\n1 = Cancelación|En este campo se debe indicar el tipo de movimiento del que se trata la operación siendo 0 el que represente a la transferencia ejecutada y 1 el que represente a la transferencia cancelada. |Obligatorio
Aplicación|(1 carácter alfabético)\nH – Mismo Día\nP – Programado|En este campo se debe indicar el momento en el que se aplicará la transferencia. \nH = Mismo día.\nP = Programado|Obligatorio
Fecha|(La fecha a 8 caracteres numéricos en formato aaaammdd)|En este campo se debe indicar la fecha en que se ingresa el archivo y será usada cuando se trata de operaciones programadas y con el objetivo de diferenciar la fecha de operación del archivo.|Obligatorio
Tipo de Transacción|(2 caractares numéricos)\n00 \n01 \n02 \n03 |En este campo se debe indicar el tipo de transacción que determina el servicio que se está operando, independientemente al canal por el que este sea ejecutado. \n\nPor ejemplo: \n00 Genérico, \n01 Nomina, \n02 Pago a proveedores, \n03 Pago de viáticos, etc.|Obligatorio
Cuenta de Cargo|(11 caracteres numéricas, ejemplo 12345678901).|En este campo se debe indicar la cuenta de banco Sabadell donde se tomarán los recursos para dispersar los pagos, el campo tiene una longitud de 11 caracteres numéricos.\n\nNOTA: Las cuentas vista de Banco Sabadell son de 11 caracteres numéricos. \n\nEjemplo:\nSabadell: 00000123456|Obligatorio
Tipo de cuenta del beneficiario|(2 caracteres numéricos) \n01 SABADELL\n40 CLABE\n03 TDD / TDC\n10 LTM|En este campo se debe indicar el tipo de cuenta de abono conforme a los siguiente:\n\n01 Cuando la cuenta de abono sea de SABADELL (tanto cuentas propias como terceros)\n40 Cuando la cuenta de abono sea una cuenta CLABE (otros bancos)\n03 Cuando la cuenta de abono sea una TDD o TDC\n10 Cuando la cuenta de abono sea una linea telefónica móvil.|Obligatorio
Cuenta de abono:\n\nSABADELL\nCLABE\nTDD / TDC\nLTM|\n(11 caracteres numéricos)\n(18 caracteres numéricos)\n(16  caracteres numéricos)\n(10 caracteres numéricos)|En este campo se debe indicar la cuenta a la que será realizada la transferecia.\n\nCada cuenta deberá ser capturada con la longitud que le corresponda de acuerdo a su tipo:  \n\nEjemplos:\nSabadell: 12345678901\nCLABE:       123456789012345678\nTDD/TDC:  1234567890123456\nLTM:           1234567890|Obligatorio
Tipo de Persona|(2 caracteres alfabéticos)\nPF - Persona Física\nPM - Persona Moral|En este campo se debe indicar el tipo de persona que es el beneficiario al que se le hará la transferencia.|Opcional
Nombre del Beneficiario|(Hasta 40 caracteres alfanuméricos)|En este campo se debe indicar el nombre o razón social de la persona a la cual se le va a realizar el abono. |Obligatorio
RFC|Personas Morales - (12 caracteres  alfanuméricos)\nPersonas Físicas - (13 caracteres alfanuméricos)|En este campo se debe indicar el RFC del beneficiario. \n\nEl RFC deberá ser capturado con la longitud que le corresponda de acuerdo a su tipo: \n\nEjemplos:\nPM:   AAA4503079E4\nPF:  AAAA3502294f2|Opcional
CURP|(18 caracteres alfanuméricas)|En este campo se debe indicar el CURP del beneficiario. \n\nNOTA:  Cuando el beneficiario es Persona Moral se deberá dejar este campo en blanco. |Opcional
Divisa|(3 caracteres alfabéticos)\nMXN Pesos Mexicanos. \nUSD Dolares.|En este campo se debe indicar la moneda de la cuenta de cargo y abono, bajo el siguiente formato:\n- MXP: para pesos mexicanos \n- USD: para dolares americanos\n\nNo está disponible la opción de compra-venta de divisas, las operaciones entre USD solo se pueden realizar en cuentas de banco Sabadell.|Obligatorio
Importe|(15 caracteres numéricos, 12 enteros un punto decimal y 2 decimales)|En este campo se debe indicar el importe de la transferencia.\n\nNOTA: Los números enteros no deberán estar separados por comas.\n\nEjemplo:  \n123456789012.12|Obligatorio
IVA|(15 caracteres numéricos, 12 enteros un punto decimal y 2 decimales)|En este campo se debe indicar el importe del IVA que el cliente requiere, no es un IVA que se vaya a retener por parte de Banco Sabadell. \n\nNOTAS:\n- Este campo deberá ser utilizado, solo si se captura el RFC del beneficiario.\n- Los números enteros no deberán estar separados por comas Ej. 1234567890123.03.\n- No debe exceder el importe de la transferencia.\n- Este importe deberá formar parte del comprobante fiscal.|Opcional
Concepto |(Hasta 40 caracteres alfanuméricos)|En este campo se debe indicar una descripción de la transferencia.\n\nNOTA: Este campo no puede ir vacío y deberá poblarse se 1 a 40 caracteres alfanumericos.|Obligatorio
Referencia|SPEI (7 caracteres numérios) \nSPID (20 caracteres numérios)|En este campo se captura la referencia del pago\n\nLa referencia debe ser capturada en función de la DIVISA en la que se hará la transferencia como sigue:\n\nEjemplos:\nSPID:       12345678901234567890\nSPEI:        1234567|Obligatorio
Correo electrónico de Beneficiario|(Hasta de 60 caracteres alfanuméricos) |En este campo se debe capturar el correo electrónico del beneficiario y deberá contar con un @ (arroba). \n\nNOTA: Indicar en este campo si se requiere notificar de esta dispersión a un correo distinto al que se tiene dado de alta, caso contrario, dejar campo en blanco.|Opcional
Número Celular|(10 caracteres numéricos)|En este campo se debe indicar el número celular del beneficiario para enviarle un mensaje SMS de abono.|Opcional
