Detalle de las operaciones|(2 caracteres alfabéticos, ejemplo DE)|1 a 2|En este campo se debe indicar las letras DE que describe que se trata del detalle de los pagos.|N/A
Tipo de Movimiento|(1 carácter numérico)\n0 = Pago\n1 = Cancelación|3|En este campo se debe indicar el tipo de movimiento del que se trata la operación siendo 0 el que represente a la transferencia ejecutada y 1 el que represente a la transferencia cancelada. |Obligatorio
Aplicación|(1 carácter alfabético)\nH – Mismo Día\nP – Programado|4|En este campo se debe indicar el momento en el que se aplicará la transferencia.\nH = Mismo día.\nP = Programado|Obligatorio
Fecha |(La fecha a 8 caracteres numéricos en formato aaaammdd)|5 a 12|En este campo se debe indicar la fecha en que se ingresa el archivo y será usada cuando se trata de operaciones programadas y con el objetivo de diferenciar la fecha de operación del archivo.|Obligatorio
Tipo de Transacción|(2 caractares numéricos)\n00 \n01 \n02 \n03 |13 a 14|En este campo se debe indicar el tipo de transacción que se está operando independientemente al canal por el que este sea ejecutado. \n\nPor ejemplo: \n00 Genérico\n01 Nomina\n02 Pago a proveedores\n03 Pago de viáticos\netc.|Obligatorio
Cuenta de Cargo|(11 caracteres numéricos).|15 a 25|En este campo se debe indicar la cuenta de banco Sabadell donde se tomarán los recursos para dispersar los pagos, el campo tiene una longitud de 11 caracteres numéricos.\n\nNOTA: Las cuentas vista de Banco Sabadell son de 11 caracteres numéricos. \n\nEjemplo:\nSabadell: 00000123456|Obligatorio
Tipo de cuenta del beneficiario|(2 caracteres numéricos)\n01 SABADELL\n40 CLABE\n03 TDD / TDC\n10 LTM|26 a 27|En este campo se debe indicar el tipo de cuenta de abono conforme a los siguiente:\n01 Cuando la cuenta de abono sea de SABADELL (tanto cuentas propias como terceros)\n40 Cuando la cuenta de abono sea una cuenta CLABE (otros bancos)\n03 Cuando la cuenta de abono sea una TDD o TDC\n10 Cuando la cuenta de abono sea una linea telefónica móvil.|Obligatorio
Cuenta de abono:\n\nSABADELL\nCLABE\nTDD / TDC\nLTM|Longitud total del campo:\n18 caracteres numéricos.\n(11 caracteres numéricos)\n(18 caracteres numéricos)\n(16  caracteres numéricos)\n(10 caracteres numéricos)|28 a 45|En este campo se debe indicar la cuenta a la que será realizada la transferecia.La cuenta clabe tiene una longitud máxima de 18 caracteres numéricos y para el resto de cuentas distintas a esta se deberán rellenar con espacios a la izquierda hasta completar los 18 caracteres numéricos. Ejemplos:\nSabadell:        12345678901\nCLABE:       123456789012345678\nTDD/TDC:    1234567890123456\nLTM:                   1234567890|Obligatorio
Tipo de Persona|(2 caracteres alfabéticos)\nPF - Persona Física\nPM - Persona Moral|46 a 47|En este campo se debe indicar el tipo de persona que es el beneficiario al que se le hará la transferencia.|Opcional
Nombre del Beneficiario|(Hasta 40 caracteres alfanuméricos)|48 a 87|En este campo se debe indicar el nombre o razón social de la persona a la cual se le va a realizar el abono. Su longitud máxima es de 40 caracteres, en caso de no hacer uso de estos 40 se deberá completar con espacios del lado derecho.|Obligatorio
RFC|Longitud total del campo: 13 caracteres alfanuméricos.\nPersonas Morales - (12 caracteres  alfanuméricos)\nPersonas Físicas - (13 caracteres alfanuméricos)|88 a 100|En este campo se debe indicar el RFC del beneficiario. \n- Para PF (personas físicas) capturar el RFC completo (13 posiciones)\n- Para PM (personas morales) capturar el RFC a 12 posiciones y se deberá completar con un espacio del lado derecho para llegar a 13 posiciones.|Opcional
CURP|(18 caracteres alfanuméricos)|101 a 118|En este campo se debe indicar el CURP del beneficiario. \n\nNOTA:  Cuando el beneficiario es Persona Moral se deberá rellenar este campo con espacios hasta completar las 18 posiciones. |Opcional
Divisa|(3 caracteres alfabéticos)\nMXN Pesos Mexicanos.\nUSD Dolares.|119 a 121|En este campo se debe indicar la moneda de la cuenta de cargo y abono bajo el siguiente formato:\n- MXP: para pesos mexicanos \n- USD: para dolares americanos\n\nNo está disponible la opción de compra-venta de divisas, las operaciones entre USD solo se pueden realizar en cuentas de banco Sabadell.|Obligatorio
Importe|(15 caracteres numéricos, 12 enteros un punto decimal y 2 decimales)|122 a 136|En este campo se debe indicar el importe de la transferencia.\n\nNOTA: Los números enteros no deberán estar separados por comas.\n\nEl importe tiene una longitud máxima de 15 caracteres numéricos cuando no se haga uso de estos 15 caracteres se deberán completar con ceros a la izquierda hasta completar 15 caracteres numéricos que es la longitud máxima. \n\nEjemplo:\n000123456789.01|Obligatorio
IVA|(15 caracteres numéricos, 12 enteros un punto decimal y 2 decimales)|137 a 151|En este campo se debe indicar el importe del IVA que se requiere no es un IVA que se vaya a retener por parte de  Banco Sabadell. \n\nNOTA: Este campo deberá ser utilizado solo si se captura el RFC del beneficiario. \n\nEl importe tiene una longitud máxima de 15 caracteres numéricos, cuando no se haga uso de estos 15 caracteres, se deberán completar con ceros a la izquierda hasta completar 15 caracteres numéricos que es la longitud máxima. \n\nEjemplo:\n000123456789.01\n\nNOTAS: \n- Los números enteros no deberán estar separados por comas.\n- No debe exceder el importe de la transferencia.- \nEn caso de que no se use el campo se debera rellenar de ceros hasta completar 15 caracteres.\n- Este importe deberá formar parte del comprobante fiscal.|Opcional
Concepto |(Hasta 40 caracteres alfanuméricos)|152 a 191|En este campo se debe indicar una descripción de la transferencia.\n\nSu longitud máxima es de 40 caracteres en caso de no hacer uso de estos 40 se deberá completar con espacios del lado derecho.|Obligatorio
Referencia|Longitud total del campo: 20 caracteres numéricos.\nSPEI (hasta 7 caracteres numérios) \nSPID (hasta 20 caracteres numérios)|192 a 211|En este campo se captura la referencia del pago.Se deberá rellenar con espacios a la izquierda hasta completar 20 caracteres numéricos que es la longitud máxima. \n\nEjemplos:\nSPID:       12345678901234567890\nSPEI:                     1234567|Obligatorio
Correo electrónico de Beneficiario|(Hasta de 60 caracteres alfanuméricos) |212 a 271|En este campo se captura el correo electrónico del beneficiario y debe contar con un @ (arroba). \n\nEn caso de no hacer uso de estos 60 caracteres en total se deberá completar con espacios del lado derecho.\n\nNOTAS: \n- Si no será utilizado este campo se deberá rellenar con espacios hasta completar la longitud máxima de 60 caracteres.\n- Indicar en este campo si requiere notificar de esta dispersión a un correo distinto al que se tiene dado de alta, caso contrario, indicar  el que se encuentra en la BD.| Opcional
Número Celular|(10 caracteres numéricos)|272 a 281|En este campo se debe indicar el número celular del beneficiario para enviarle un mensaje SMS de abono.\n\nNOTA: Si no será utilizado este campo se deberá rellenar con espacios hasta completar 10 caracteres.| Opcional
